Non-Counted Role Played,Count #
Bobby Moynihan,Ditmeyer,41
Cecily Strong,Vena Scardicci,41
Kenan Thompson,Nasty Jack,41
Hillary Clinton,Val,41
Darrell Hammond,Bill Clinton,41
Taran Killam,waiter,41
Kate McKinnon,Hillary Clinton,41
Cecily Strong,Huma Abedin,41
Kyle Mooney,Pope Francis,41
Jon Rudnitsky,Jaden,41
Leslie Jones,Rhonda,41
Jon Rudnitsky,waiter,41
Miley Cyrus,Hayley Mills,41
Leslie Jones,Ruby Nichols,41
Jay Pharoah,Reggie,41
Kenan Thompson,Epson,41
Sasheer Zamata,Janine Katz,41
Jon Rudnitsky,Six Flags,41
Darrell Hammond,Bill Clinton,40
Kate McKinnon,Hillary Clinton,40
Louis C.K.,shoemaker,40
Vanessa Bayer,elf,40
Kenan Thompson,elf,40
Louis C.K.,Donald,40
Leslie Jones,Brenda,40
Louis C.K.,lumberjack,40
Beck Bennett,singer,40
Taran Killam,Tom Brady,40
Bobby Moynihan,Riblet,40
Mikey Day,waiter,40
Vanessa Bayer,Gene's wife,40
Cecily Strong,Gemma,40
Kenan Thompson,Gene,40
Sasheer Zamata,waitress,40
Louis C.K.,actor,40
Beck Bennett,actor,40
Pete Davidson,victim,40
Taran Killam,Simon Baxter-Boyle,40
Kyle Mooney,Kurt Hoger,40
Kenan Thompson,detective,40
Louis C.K.,lumberjack,40
Beck Bennett,singer,40
Louis C.K.,Tom Randolph,40
Aidy Bryant,Madge,40
Kate McKinnon,Fran,40
Bobby Moynihan,Frank,40
Kenan Thompson,Reese De'What,40
Beck Bennett,Mike Huckabee,40
Taran Killam,Marco Rubio,40
Kate McKinnon,Carly Fiorina,40
Kyle Mooney,Rand Paul,40
Bobby Moynihan,Ted Cruz,40
Cecily Strong,deejay,40
Kenan Thompson,Ben Carson,40
Reese Witherspoon,Jackie Fong,40
Pete Davidson,Andrew Marks,40
Kyle Mooney,Clayton Alexander,40
Jay Pharoah,Marquise,40
Cecily Strong,Lisa Ferar,40
Kenan Thompson,Cudell,40
Reese Witherspoon,Tara Hoffman,40
Vanessa Bayer,Michelle Fulton,40
Beck Bennett,Michael Fulton,40
Taran Killam,host,40
Bobby Moynihan,Daniel Hoffman,40
Cecily Strong,Rosie Perez,40
Kenan Thompson,Reginald VelJohnson,40
Reese Witherspoon,Laura,40
Vanessa Bayer,Amy,40
Beck Bennett,Louis,40
Bobby Moynihan,Mr. Westerberg,40
Kenan Thompson,Evans,40
Cecily Strong,The Girl You Wish You Hadn't Started A Conversation With At A Party,40
Reese Witherspoon,Mackenzie,40
Kenan Thompson,Willie,40
Beck Bennett,theatre student,40
Aidy Bryant,theatre student,40
Leslie Jones,parent,40
Taran Killam,theatre student,40
Kate McKinnon,theatre student,40
Kyle Mooney,theatre student,40
Bobby Moynihan,parent,40
Reese Witherspoon,Jerrilynn,40
Aidy Bryant,Carolynn,40
Leslie Jones,Terrilynn,40
Kate McKinnon,Marilyn,40
Cecily Strong,Nan,40
Reese Witherspoon,Jess,40
Beck Bennett,Chad,40
Kyle Mooney,Trent,40
Bobby Moynihan,rider,40
Cecily Strong,rider,40
Sasheer Zamata,rider,40
Reese Witherspoon,Purr-sula,40
Kate McKinnon,Barbara DeDrew,40
Aidy Bryant,Manny Pacquiao,40
Taran Killam,Michael Buffer,40
Kate McKinnon,Justin Bieber,40
Jay Pharoah,Floyd Mayweather,40
Kenan Thompson,Kenny Bayless,40
Scarlett Johansson,Daniela DeNotta DiPasquale,40
Taran Killam,Cory Chisholm,40
Kate McKinnon,Hozier,40
Bobby Moynihan,caller,40
Cecily Strong,Gracelynn Chisholm,40
Scarlett Johansson,Amber Theoharis,40
Vanessa Bayer,Donna Hamilton,40
Taran Killam,Jim Palmer,40
Bobby Moynihan,salesman,40
Jay Pharoah,Manny Machado,40
Kenan Thompson,Frank Robinson,40
Scarlett Johansson,Black Widow,40
Beck Bennett,Captain America,40
Taran Killam,Thor,40
Kate McKinnon,editor,40
Bobby Moynihan,The Hulk,40
Jay Pharoah,Nick Fury,40
Cecily Strong,Cheryl Fishman,40
Scarlett Johansson,Camden Cruthers,40
Aidy Bryant,Morgan,40
Cecily Strong,Kyra,40
Kate McKinnon,Ruth Bader Ginsburg,40
Bobby Moynihan,Samwell Tarly,40
Vanessa Bayer,Gilly,40
Kenan Thompson,Charles Barkley,40
Jay Pharoah,Shaquille O'Neal,40
Scarlett Johansson,visitor,40
Vanessa Bayer,visitor,40
Pete Davidson,visitor,40
Taran Killam,guide,40
Cecily Strong,visitor,40
Kenan Thompson,visitor,40
Wiz Khalifa,thug,40
Beck Bennett,chief,40
Michael Che,thug,40
Taran Killam,Don Blazer,40
Bobby Moynihan,commissioner,40
Jay Pharoah,thug,40
Scarlett Johansson,flight attendant,40
Vanessa Bayer,flight attendant,40
Pete Davidson,pilot,40
Scarlett Johansson,Vanetta,40
Aidy Bryant,Fayanne,40
Vanessa Bayer,Christina,40
Darrell Hammond,Bill Clinton,40
Kate McKinnon,Hillary Clinton,40
Bill Corsair,Dad,40
Taraji P. Henson,attorney,40
Vanessa Bayer,attorney,40
Beck Bennett,Bill Arnold,40
Aidy Bryant,Paula Abbott,40
Pete Davidson,Gavin Daly,40
Kate McKinnon,Kathy Daly,40
Bobby Moynihan,Mr. Daly,40
Cecily Strong,Janet Johnson-Luna,40
Kenan Thompson,judge,40
Taraji P. Henson,Nicki Minaj,40
Pete Davidson,Ninja,40
Leslie Jones,Missy Elliott,40
Taran Killam,Jim Parsons,40
Kate McKinnon,Yolandi Visser,40
Jay Pharoah,Kendrick Lamar,40
Cecily Strong,Sofia Vergara,40
Kenan Thompson,Rick Ross,40
Sasheer Zamata,Rihanna,40
Taraji P. Henson,Tamara Sands,40
Vanessa Bayer,"Rachel, caller",40
Aidy Bryant,Blythe,40
Kate McKinnon,Claudette Fontaine,40
Bobby Moynihan,Rick Waterson,40
Sasheer Zamata,"Amy, caller",40
Nikolaj Coster-Waldau,Jaime Lannister,40
Michael Che,noble,40
Jay Pharoah,Treygerius,40
Kenan Thompson,"Ice Cube , Dimitrius",40
Sasheer Zamata,noble,40
Kate McKinnon,Cecilia Giminez,40
Vanessa Bayer,Jacob,40
Billy Crystal,Dr. Hankin,40
Taraji P. Henson,Wanda Sykes,40
Vanessa Bayer,Kelly,40
Beck Bennett,Nick Offerman,40
Aidy Bryant,Wynonna Judd,40
Taran Killam,Vin Diesel,40
Kate McKinnon,Jane Lynch,40
Kyle Mooney,Eddie,40
Jay Pharoah,Common,40
Cecily Strong,Marion Cotillard,40
Kyle Mooney,Teddy Paskowitz,40
Jay Pharoah,Michael,40
Sasheer Zamata,Janelle,40
Taraji P. Henson,Cookie,40
Kenan Thompson,Reese De'What,40
Taraji P. Henson,Mavis,40
Taran Killam,Zander,40
Bobby Moynihan,Dutch,40
Jay Pharoah,Bronte,40
Cecily Strong,Amber Lee,40
Beck Bennett,Ernie Johnson Jr.,40
Pete Davidson,reporter,40
Taran Killam,Mike Krzyzewski,40
Kyle Mooney,reporter,40
Bobby Moynihan,Steve,40
Jay Pharoah,Kenny Smith,40
Cecily Strong,reporter,40
Kenan Thompson,Charles Barkley,40
Bobby Moynihan,Jake McKinsey,40
Jay Pharoah,Don Lemon,40
Cecily Strong,Brooke Baldwin,40
Sasheer Zamata,Jacklyn Jackson,40
Michael Keaton,Norman Osterberg,40
Bobby Moynihan,Mitch,40
Mike O'Brien,Eddie Gallavan,40
Michael Keaton,grandfather,40
Leslie Jones,grandmother,40
Taran Killam,David,40
Kate McKinnon,grandmother,40
Kyle Mooney,Matthew,40
Cecily Strong,grandmother,40
Sasheer Zamata,model,40
Michael Keaton,Mr. Wallace,40
Vanessa Bayer,member,40
Aidy Bryant,member,40
Pete Davidson,member,40
Colin Jost,member,40
Taran Killam,member,40
Kate McKinnon,member,40
Kyle Mooney,member,40
Bobby Moynihan,founder,40
Cecily Strong,member,40
Kenan Thompson,member,40
Sasheer Zamata,member,40
Taran Killam,Jebidiah Atkinson,40
Michael Keaton,Mr. Crawford,40
Vanessa Bayer,neighbor,40
Beck Bennett,neighbor,40
Kate McKinnon,neighbor,40
Kyle Mooney,neighbor,40
Cecily Strong,Mrs. Crawford,40
Kate McKinnon,Portia,40
Bobby Moynihan,Jordan,40
Dwayne Johnson,The Rock Obama,40
Beck Bennett,agent,40
Leslie Jones,She Rock Obama,40
Taran Killam,John Boehner,40
Kyle Mooney,Tom Cotton,40
Bobby Moynihan,Ted Cruz,40
Jay Pharoah,Barack Obama,40
Sasheer Zamata,Michelle Obama,40
Aidy Bryant,Jenni,40
Bobby Moynihan,Joey,40
Jay Pharoah,Chuck,40
Dwayne Johnson,Koko WatchOut,40
Taran Killam,emcee,40
Kyle Mooney,director,40
Bobby Moynihan,Trashyard Mutt,40
Dwayne Johnson,Bambi,40
Pete Davidson,hunter,40
Taran Killam,"Vin Diesel , Thumper",40
Kyle Mooney,hunter,40
Bobby Moynihan,hunter,40
Jay Pharoah,Ludacris,40
Jay Pharoah,"Tyrese Gibson , Flower",40
Cecily Strong,"Michelle Rodriguez , Faline",40
Dwayne Johnson,Gemma's boyfriend,40
Vanessa Bayer,Gene's wife,40
Beck Bennett,waiter,40
Cecily Strong,Gemma,40
Kenan Thompson,Gene,40
Dwayne Johnson,Dr. Bones,40
Beck Bennett,native,40
Pete Davidson,Short-Long,40
Kate McKinnon,Miss Reese,40
Kyle Mooney,native,40
Dwayne Johnson,Dr. Erkhart,40
Beck Bennett,Abrams,40
Kenan Thompson,cashier,40
Kate McKinnon,Olya Povlatsky,40
Kenan Thompson,Willie,40
Dwayne Johnson,Mitch,40
Kenan Thompson,Paul Montaine,40
Kate McKinnon,Robert Durst,40
Kyle Mooney,Noah,40
Cecily Strong,Jeanine Pirro,40
Sasheer Zamata,emcee,40
Dwayne Johnson,Agent Dunwoody,40
Vanessa Bayer,Agent Barnes,40
Taran Killam,Mr. Langley,40
Kate McKinnon,Hillary Clinton,40
Kate McKinnon,Mom,40
Kyle Mooney,audience member,40
Bobby Moynihan,audience member,40
Cecily Strong,audience member,40
Kenan Thompson,Kellam Hemsworth,40
Sasheer Zamata,makeup artist,40
Chris Hemsworth,Matty,40
Taran Killam,Marky,40
Cecily Strong,Mrs. Watkins,40
Chris Hemsworth,Chip,40
Michael Che,Hakeem,40
Leslie Jones,Porsha,40
Jay Pharoah,Jamal,40
Kenan Thompson,"Terrence Howard , Lucious",40
Sasheer Zamata,"Taraji P. Henson , Cookie",40
Chris Hemsworth,Captain Jericho,40
Cecily Strong,ensign,40
Kenan Thompson,ensign,40
Sasheer Zamata,ensign,40
Chris Hemsworth,Rafty Drones,40
Kate McKinnon,Iggy Azalea,40
Jay Pharoah,T.I.,40
Sasheer Zamata,Azealia Banks,40
Cecily Strong,The Girl You Wish You Hadn't Started A Conversation With At A Party,40
Chris Hemsworth,Thor,40
Beck Bennett,Captain America,40
Pete Davidson,Bruce Banner,40
Taran Killam,Tony Stark,40
Bobby Moynihan,Danny Powell,40
Jay Pharoah,Nick Fury,40
Cecily Strong,Janet,40
Chris Hemsworth,Bob,40
Kate McKinnon,Trish,40
Kenan Thompson,Gerard,40
Sasheer Zamata,marker,40
Chris Hemsworth,Eric,40
Beck Bennett,Chase,40
Taran Killam,host,40
Kyle Mooney,Brian,40
Chris Hemsworth,Dong Juan De Dark Hole,40
Vanessa Bayer,Brecky,40
Cecily Strong,model,40
Dakota Johnson,Caroline Giuliani,40
Vanessa Bayer,Gretchen Carlson,40
Beck Bennett,Birdman,40
Taran Killam,Rudy Giuliani,40
Kyle Mooney,director,40
Bobby Moynihan,assistant,40
Sasheer Zamata,makeup artist,40
Kate McKinnon,audience member,40
Kyle Mooney,audience member,40
Kyle Mooney,militant,40
Dakota Johnson,Cinderella,40
Taran Killam,Prince Charming,40
Cecily Strong,Cathy Anne,40
Vanessa Bayer,Jessica,40
Beck Bennett,Michael,40
Aidy Bryant,Jackie,40
Pete Davidson,Nathan,40
Kate McKinnon,Kerry,40
Jay Pharoah,Rick,40
Taran Killam,reporter,40
Kate McKinnon,assistant,40
Kyle Mooney,Peter Scott Finley,40
Aidy Bryant,Margo,40
Kate McKinnon,Ruth Bader Ginsburg,40
Jay Pharoah,Kanye West,40
Sasheer Zamata,singer,40
Bobby Moynihan,Riblet,40
Mikey Day,FedEx delivery man,40
Vanessa Bayer,granddaughter,40
Pete Davidson,grandson,40
Taran Killam,Mr. Sampson,40
Kenan Thompson,Al Thomas,40
Dakota Johnson,Samantha Shepard,40
Pete Davidson,Chris Konko,40
Leslie Jones,Veronica Davis,40
Taran Killam,Vinton Cerf,40
Bobby Moynihan,Mark Falanga,40
Sasheer Zamata,Jennifer Owens,40
Beck Bennett,Mario,40
Kenan Thompson,homeless man,40
Beck Bennett,band member,40
Aidy Bryant,band member,40
Pete Davidson,band member,40
Taran Killam,Pete Carroll,40
Kyle Mooney,band member,40
Bobby Moynihan,band member,40
Jay Pharoah,Richard Sherman,40
Kenan Thompson,Marshawn Lynch,40
Sasheer Zamata,band member,40
J.K. Simmons,Dadonk Fontaine,40
Vanessa Bayer,Miss Trash Vermont,40
Aidy Bryant,Miss Trash Delaware,40
Kate McKinnon,Miss Trash New York,40
Cecily Strong,Miss Trash California,40
J.K. Simmons,Rick,40
Taran Killam,Louis,40
Kate McKinnon,Ilsa,40
Kenan Thompson,Reese De'What,40
J.K. Simmons,Principal Heffernan,40
Cecily Strong,Heather,40
Taran Killam,Jebidiah Atkinson,40
J.K. Simmons,Cam,40
Aidy Bryant,Ruth,40
Bobby Moynihan,Pushie,40
J.K. Simmons,Nas,40
Jason Sudeikis,Kanye West,40
Mike O'Brien,Jay-Z,40
Sasheer Zamata,Beyoncé,40
J.K. Simmons,Mr. Runyon,40
Pete Davidson,Jake Runyon,40
Leslie Jones,Mrs. Riley,40
Taran Killam,Mr. Nakamoto,40
Bobby Moynihan,parent,40
Sasheer Zamata,Rachel Riley,40
Beck Bennett,Bill Belichick,40
Taran Killam,Tom Brady,40
Kate McKinnon,reporter,40
Kyle Mooney,"Weinberg, reporter",40
Bobby Moynihan,Dougie Spoons,40
Jay Pharoah,reporter,40
Kenan Thompson,Greg Gumbel,40
Sasheer Zamata,reporter,40
Bobby Moynihan,old kook,40
Blake Shelton,Ryan Coles,40
Vanessa Bayer,contestant,40
Aidy Bryant,Ashley,40
Kate McKinnon,contestant,40
Cecily Strong,Alyssa,40
Sasheer Zamata,contestant,40
Blake Shelton,singer,40
Aidy Bryant,singer,40
Kate McKinnon,singer,40
Jay Pharoah,warden,40
Beck Bennett,Harry Connick Jr.,40
Taran Killam,Adam Levine,40
Kate McKinnon,Keith Urban,40
Kyle Mooney,Steven Tyler,40
Jay Pharoah,Pharrell Williams,40
Cecily Strong,Christina Aguilera,40
Kenan Thompson,Steve Harvey,40
Sasheer Zamata,Nicki Minaj,40
Bobby Moynihan,Riblet,40
Sasheer Zamata,Nicole,40
Blake Shelton,panelist,40
Bobby Moynihan,panelist,40
Cecily Strong,panelist,40
Kent Sublette,guard,40
Kenan Thompson,Wallace Redding,40
Blake Shelton,Tyler Coldwin,40
Taran Killam,Russell Shay,40
Bobby Moynihan,host,40
Sasheer Zamata,host,40
Blake Shelton,audience member,40
Beck Bennett,audience member,40
Aidy Bryant,audience member,40
Taran Killam,magician,40
Kate McKinnon,audience member,40
Kenan Thompson,audience member,40
Pete Davidson,Michael,40
Kenan Thompson,Martin Luther King Jr.,40
Kate McKinnon,Justin Bieber,40
Cecily Strong,Lara Stone,40
Kevin Hart,Darnell Pepper,40
Vanessa Bayer,Kim,40
Aidy Bryant,Trisha,40
Kyle Mooney,Travis,40
Vanessa Bayer,Carol,40
Kevin Hart,James Brown (I),40
Beck Bennett,Ricky,40
Pete Davidson,band member,40
Taran Killam,Steve,40
Kyle Mooney,band member,40
Bobby Moynihan,Robbie,40
Jay Pharoah,band member,40
Cecily Strong,Lorraine,40
Kenan Thompson,Dave,40
Sasheer Zamata,Samantha,40
Kevin Hart,Martine,40
Vanessa Bayer,Maggie Margaret Bond,40
Aidy Bryant,Nancy Chase,40
Taran Killam,Rodney Sidette,40
Kate McKinnon,Winnie Mayhood,40
Cecily Strong,Debbie Frost,40
Sasheer Zamata,Elizabeth Dushawn,40
Kate McKinnon,Justin Bieber,40
Cecily Strong,Lara Stone,40
Kate McKinnon,Frida Santini,40
Kevin Hart,Baylars,40
Kenan Thompson,king,40
Jay Pharoah,Marcus,40
Kevin Hart,Jamil,40
Beck Bennett,Carl,40
Pete Davidson,Harry,40
Leslie Jones,Karen,40
Bobby Moynihan,Mark,40
Jay Pharoah,Roy,40
Kenan Thompson,Steve,40
Mike Myers,Dr. Evil,40
Taran Killam,Sam Smith,40
Amy Adams,Jan,40
Taran Killam,Dad,40
Kate McKinnon,Susie,40
Kyle Mooney,Dave,40
Kenan Thompson,Ron,40
Amy Adams,Jennifer,40
Aidy Bryant,Adina Hernandez,40
Kate McKinnon,Dana Chivvis,40
Kyle Mooney,Chris,40
Jay Pharoah,Jingle,40
Cecily Strong,Sarah Koenig,40
Kenan Thompson,David,40
Amy Adams,Megan Carter Cosgrove,40
Harry Styles,Becker,40
Liam Payne,Braeden,40
Louis Tomlinson,Brazen,40
Niall Horan,Brooklyn,40
Zayn Malik,Bazayn,40
Aidy Bryant,Morgan,40
Cecily Strong,Kyra,40
Amy Adams,Becky,40
Beck Bennett,Kevin,40
Aidy Bryant,Carol,40
Leslie Jones,cleaning lady,40
Taran Killam,Dave,40
Kate McKinnon,Kathy,40
Kyle Mooney,Randy,40
Bobby Moynihan,Jerry,40
Kenan Thompson,Tom,40
Kenan Thompson,Willie,40
Kristen Wiig,Kat,40
Fred Armisen,Garth,40
Amy Adams,Elvira Hancock,40
Fred Armisen,Raúl Castro,40
Beck Bennett,Fidel Castro,40
Pete Davidson,Elian Gonzalez,40
Taran Killam,Pitbull,40
Kate McKinnon,Diana Nyad,40
Kyle Mooney,Tony Montana,40
Bobby Moynihan,Jorge Garcia,40
Jay Pharoah,Barack Obama,40
Cecily Strong,Gloria Estefan,40
Kenan Thompson,Cuba Gooding Jr.,40
Amy Adams,Frebecca,40
Kate McKinnon,Eileen,40
Cecily Strong,Helen,40
Amy Adams,Ashley,40
Kate McKinnon,Barbara DeDrew,40
Taran Killam,Charlie Rose,40
Kyle Mooney,Bruce Jessen,40
Bobby Moynihan,James Mitchell,40
Taran Killam,Alan Rickman,40
Kate McKinnon,Maggie Smith,40
Martin Freeman,Marcus Yonks,40
Vanessa Bayer,Sheila,40
Beck Bennett,boss,40
Aidy Bryant,Mrs. Claus,40
Bobby Moynihan,Santa Claus,40
Cecily Strong,singer,40
Kenan Thompson,Sump'n Claus,40
Sasheer Zamata,singer,40
Martin Freeman,Ian,40
Vanessa Bayer,Patricia,40
Aidy Bryant,Marnie,40
Leslie Jones,Alberta,40
Kate McKinnon,Evelyn,40
Cecily Strong,Cassidy,40
Martin Freeman,Bilbo Baggins,40
Taran Killam,Gollum,40
Kate McKinnon,Tauriel,40
Kyle Mooney,Legolas,40
Bobby Moynihan,Bombur,40
Bobby Moynihan,Gandalf,40
Martin Freeman,Louie Dulux,40
Aidy Bryant,Emily Margine,40
Taran Killam,Cory Chisholm,40
Kate McKinnon,Keith Urban,40
Kyle Mooney,director,40
Cecily Strong,Gracelynn Chisholm,40
Beck Bennett,parishioner,40
Aidy Bryant,Bethany Opsal,40
Pete Davidson,Devin,40
Leslie Jones,parishioner,40
Taran Killam,parishioner,40
Kate McKinnon,Linda Tayhoe,40
Kyle Mooney,Ryan Welty,40
Bobby Moynihan,Pastor Pat,40
Jay Pharoah,Mr. Drubbler,40
Cecily Strong,Colleen Chapin,40
Cecily Strong,Heather,40
Vanessa Bayer,Jacob,40
Martin Freeman,Mr. Ruderman,40
Taran Killam,Gordon,40
Martin Freeman,Isaac Newbury,40
Taran Killam,Roman,40
Kyle Mooney,Brad Dates,40
Kenan Thompson,Treece Henderson,40
Martin Freeman,Dom MacWeber,40
Aidy Bryant,Janine MacWeber,40
Taran Killam,delivery guy,40
Jay Pharoah,delivery guy,40
Bobby Moynihan,Peter DiNello,40
Jay Pharoah,Lawrence Tatum,40
Kenan Thompson,Al Sharpton,40
James Franco,Christopher Walken,40
Beck Bennett,John,40
Aidy Bryant,Tonker Bell,40
Taran Killam,pirate,40
Kate McKinnon,Wendy,40
Kyle Mooney,Michael,40
Bobby Moynihan,Batty Koda,40
Cecily Strong,Allison Williams,40
Kenan Thompson,pirate,40
James Franco,Luke Skywalker,40
Taran Killam,Han Solo,40
Bobby Moynihan,Princess Leia,40
Jay Pharoah,Stormtrooper,40
Kenan Thompson,Lando Calrissian,40
James Franco,Riff Raff,40
Nicki Minaj,Beyoncé,40
Pete Davidson,KaTyler Smyth,40
Taran Killam,Eminem,40
Kate McKinnon,Justin Bieber,40
Jay Pharoah,Kanye West,40
Kenan Thompson,Rick Ross,40
Sasheer Zamata,Rihanna,40
James Franco,Chad,40
Beck Bennett,Clint,40
Mike O'Brien,Trevor,40
James Franco,troll,40
Kyle Mooney,John,40
Cecily Strong,Cathy Anne,40
Bobby Moynihan,Anthony Crispino,40
Nicki Minaj,Kim Kardashian,40
James Franco,moderator,40
Vanessa Bayer,Lex,40
Beck Bennett,Ashley Parker Angel,40
Aidy Bryant,Rhombus,40
Pete Davidson,Jeremy,40
Taran Killam,Cal Hockley,40
Taran Killam,Darren Hayes,40
Kate McKinnon,Kevin McCallister,40
Kyle Mooney,Chris Kirkpatrick,40
Bobby Moynihan,Lance Ito,40
Jay Pharoah,Will Smith,40
Cecily Strong,Mrs. Mancinelli,40
James Franco,Tad Rankin,40
James Franco,Captain Jack Swallow,40
Seth Rogen,James Franco,40
Vanessa Bayer,Brecky,40
Cecily Strong,model,40
Kyle Mooney,kid,40
Bobby Moynihan,Executive Order,40
Jay Pharoah,Barack Obama,40
Kenan Thompson,Bill,40
Vanessa Bayer,audience member,40
Beck Bennett,audience member,40
Aidy Bryant,audience member,40
Leslie Jones,audience member,40
Kyle Mooney,Brad Parsons,40
Cameron Diaz,Miss Hannigan,40
Vanessa Bayer,Annie,40
Leslie Jones,Annie Shevall,40
Jay Pharoah,"Jamie Foxx , Daddy Warbucks",40
Kenan Thompson,singer,40
Kate McKinnon,Elaine,40
Vanessa Bayer,theatre parent,40
Beck Bennett,theatre student,40
Aidy Bryant,theatre student,40
Taran Killam,theatre student,40
Kate McKinnon,theatre student,40
Kyle Mooney,theatre student,40
Kenan Thompson,theatre parent,40
Kate McKinnon,Angela Merkel,40
Cecily Strong,Star Burton,40
Taran Killam,Charles Manson,40
Cameron Diaz,Nancy Patterson,40
Beck Bennett,Richard Patterson,40
Kenan Thompson,Mitchell,40
Sasheer Zamata,Kendra,40
Cameron Diaz,Melissa Albright,40
Jay Pharoah,Terry,40
Kenan Thompson,Dr. Dave,40
Cameron Diaz,Mrs. Freeman,40
Beck Bennett,Andy Rydell,40
Kyle Mooney,Chris Fitzpatrick,40
Cameron Diaz,Tamra Lake,40
Vanessa Bayer,Ms. Meadows,40
Cameron Diaz,Tawna,40
Kate McKinnon,Latouch,40
Cecily Strong,Aurora,40
Taran Killam,Mitch McConnell,40
Jay Pharoah,Barack Obama,40
Sasheer Zamata,Michelle Obama,40
Woody Harrelson,Mr. Dudley,40
Uzo Aduba,Crazy Eyes,40
Beck Bennett,Ron Dudley,40
Kate McKinnon,Mrs. Dudley,40
Kenan Thompson,Jacquees Dudley,40
Woody Harrelson,Jerry Tremaine,40
Beck Bennett,Guy #1,40
Taran Killam,Guy #3,40
Kyle Mooney,Guy #2,40
Cecily Strong,Desiree,40
Beck Bennett,police officer,40
Kenan Thompson,police officer,40
Woody Harrelson,coach,40
Kyle Mooney,assistant,40
Jay Pharoah,Crandall,40
Kenan Thompson,D.C. Timmons,40
Woody Harrelson,James Taylor,40
Vanessa Bayer,Miley Cyrus,40
Beck Bennett,Elton John,40
Aidy Bryant,Meghan Trainor,40
Leslie Jones,Aretha Franklin,40
Taran Killam,Barry Manilow,40
Taran Killam,David Crosby,40
Taran Killam,Sam Smith,40
Kate McKinnon,Lorde,40
Kate McKinnon,Robyn,40
Kyle Mooney,Macklemore,40
Kyle Mooney,Stephen Stills,40
Bobby Moynihan,Psy,40
Jay Pharoah,2 Chainz,40
Cecily Strong,Ariana Grande,40
Kenan Thompson,B.B. King,40
Kenan Thompson,Lionel Richie,40
Sasheer Zamata,Diana Ross,40
Taran Killam,Matthew McConaughey,40
Woody Harrelson,Todd,40
Vanessa Bayer,Christy,40
Leslie Jones,Eva,40
Kyle Mooney,Tom,40
Bobby Moynihan,Randy,40
Woody Harrelson,Chip Fister,40
Kate McKinnon,Sheila Sovage,40
Kenan Thompson,Anthony,40
Kate McKinnon,Kaci Hickox,40
Bobby Moynihan,Chris Christie,40
Cecily Strong,Megyn Kelly,40
Kyle Mooney,Teddy Paskowitz,40
Jay Pharoah,Michael,40
Sasheer Zamata,Janelle,40
Beck Bennett,Rawson Silver,40
Taran Killam,Jamie Fordyce,40
Kyle Mooney,Ty Brown,40
Chris Rock,Kevin Michael Jakes,40
Leslie Jones,Denise London,40
Jay Pharoah,Ronny Williams,40
Kenan Thompson,host,40
Sasheer Zamata,Natalie Dickinson,40
Jay Pharoah,Katt Williams,40
Kenan Thompson,"Marion ""Suge"" Knight",40
Chris Rock,Abdul Rakim,40
Beck Bennett,Kevin O'Leary,40
Aidy Bryant,Cindi,40
Pete Davidson,member,40
Leslie Jones,police officer,40
Taran Killam,Mark Cuban,40
Kate McKinnon,Barbara Corcoran,40
Kyle Mooney,Ebrahim Al-Baghdady,40
Jay Pharoah,Aloag,40
Kenan Thompson,Daymond John,40
Beck Bennett,Dr. David Doctor,40
Leslie Jones,Nicole,40
Bobby Moynihan,driver,40
Beck Bennett,Charlie,40
Kate McKinnon,manager,40
Kyle Mooney,robber,40
Bobby Moynihan,Johnny,40
Chris Rock,T. Harrison Cartel,40
Vanessa Bayer,D'Angela Tomei,40
Beck Bennett,date,40
Aidy Bryant,lesbian,40
Taran Killam,Todd,40
Kate McKinnon,Jodi Cork,40
Jay Pharoah,date,40
Cecily Strong,Donna Fingerneck,40
Beck Bennett,reporter,40
Aidy Bryant,reporter,40
Taran Killam,Ron Klain,40
Bobby Moynihan,reporter,40
Jay Pharoah,Barack Obama,40
Cecily Strong,reporter,40
Kenan Thompson,Al Sharpton,40
Taran Killam,singer,40
Bobby Moynihan,Red,40
Cecily Strong,singer,40
Kenan Thompson,singer,40
Sasheer Zamata,singer,40
Jim Carrey,Matthew McConaughey,40
Jeff Daniels,Grandpa Lloyd,40
Vanessa Bayer,Rita Carrey,40
Beck Bennett,John Carrey,40
Pete Davidson,The Riddler,40
Leslie Jones,waitress,40
Taran Killam,Jay Carrey,40
Kyle Mooney,Percy Carrey,40
Bobby Moynihan,Wayne,40
Jay Pharoah,Eddie Torres,40
Cecily Strong,Aunt Kay,40
Jim Carrey,Matthew McConaughey,40
Jim Carrey,Phil,40
Pete Davidson,Arlo,40
Taran Killam,Paul,40
Kate McKinnon,tombstone,40
Bobby Moynihan,tombstone,40
Jay Pharoah,reaper,40
Kenan Thompson,tree,40
Sasheer Zamata,Janelle,40
Jim Carrey,Matthew McConaughey,40
Kenan Thompson,Dennis Haysbert,40
Vanessa Bayer,Daisy Rose,40
Bobby Moynihan,Drunk Uncle,40
Jim Carrey,Abbott Bonneville Caine,40
Beck Bennett,Gordon,40
Taran Killam,Steve,40
Bobby Moynihan,Mike,40
Jay Pharoah,Tony,40
Cecily Strong,Stacey,40
Vanessa Bayer,Sarah,40
Leslie Jones,Ronda Banks,40
Taran Killam,host,40
Kyle Mooney,Simon,40
Sasheer Zamata,Megan,40
Jim Carrey,Howie Miller,40
Pete Davidson,Boone Miller,40
